Model,N,InferenceTime_ms
LSTM,10,28.669234015978873
XGBoost,10,1.44291203469038
MLP_NN,10,1.0103569948114455
LSTM,10,28.039931028615683
XGBoost,10,1.3880179612897336
MLP_NN,10,1.0289589990861714
LSTM,10,28.182420996017754
XGBoost,10,1.4939119573682547
MLP_NN,10,0.9883189923129976
LSTM,10,31.69286099728197
XGBoost,10,1.3888569665141404
MLP_NN,10,0.98842300940305
LSTM,10,27.634399011731148
XGBoost,10,1.4073760248720646
MLP_NN,10,0.9830290218815207
LSTM,10,29.37582496087998
XGBoost,10,1.4624270261265337
MLP_NN,10,1.0147480061277747
LSTM,10,27.82791299978271
XGBoost,10,1.470847986638546
MLP_NN,10,1.035679946653545
LSTM,10,28.687638987321407
XGBoost,10,1.6624139971099794
MLP_NN,10,1.0078320046886802
LSTM,10,28.007662040181458
XGBoost,10,1.4755809679627419
MLP_NN,10,0.996796996332705
LSTM,10,28.219387982971966
XGBoost,10,2.314456971362233
MLP_NN,10,1.6708449693396688
LSTM,10,28.55880494462326
XGBoost,10,1.4421989908441901
MLP_NN,10,1.0491700377315283
LSTM,10,30.26457194937393
XGBoost,10,1.4536709641106427
MLP_NN,10,1.0075149475596845
LSTM,10,28.304537991061807
XGBoost,10,1.4229670050553977
MLP_NN,10,1.1478540254756808
LSTM,10,28.079821029677987
XGBoost,10,1.415553968399763
MLP_NN,10,1.1340350029058754
LSTM,10,28.012278024107218
XGBoost,10,1.3740279828198254
MLP_NN,10,1.0060030035674572
LSTM,10,28.05922698462382
XGBoost,10,1.3593729818239808
MLP_NN,10,1.0072729783132672
LSTM,10,27.79188402928412
XGBoost,10,2.2230310132727027
MLP_NN,10,1.6585239791311324
LSTM,10,31.187856977339834
XGBoost,10,1.5016249963082373
MLP_NN,10,1.1317000025883317
LSTM,10,31.4489989541471
XGBoost,10,1.4112229691818357
MLP_NN,10,0.9934889967553318
LSTM,10,28.604850987903774
XGBoost,10,1.4537530369125307
MLP_NN,10,0.9728019940666854
LSTM,10,27.181893994566053
XGBoost,10,1.409904973115772
MLP_NN,10,0.9852779912762344
LSTM,10,27.706198976375163
XGBoost,10,1.4318469911813736
MLP_NN,10,1.0118609643541276
LSTM,10,27.904160029720515
XGBoost,10,1.4427709975279868
MLP_NN,10,0.9886500192806125
LSTM,10,27.86495501641184
XGBoost,10,2.300078049302101
MLP_NN,10,1.660591980908066
LSTM,10,30.59581102570519
XGBoost,10,1.4172730152495205
MLP_NN,10,0.991649052593857
LSTM,10,28.047712985426188
XGBoost,10,2.234714978840202
MLP_NN,10,1.6564790275879204
LSTM,10,30.009215988684446
XGBoost,10,1.3645570143125951
MLP_NN,10,1.1345199891366065
LSTM,10,27.404944004956633
XGBoost,10,1.771039969753474
MLP_NN,10,0.9924890473484993
LSTM,10,29.0367070119828
XGBoost,10,1.7910419846884906
MLP_NN,10,1.0077750193886459
LSTM,10,30.017620010767132
XGBoost,10,1.5582609921693802
MLP_NN,10,1.0106750414706767
LSTM,10,29.768425039947033
XGBoost,10,1.7938720411621034
MLP_NN,10,1.0116400080733001
LSTM,10,27.8148390352726
XGBoost,10,1.4248460065573454
MLP_NN,10,1.0179280070587993
LSTM,10,27.95047196559608
XGBoost,10,1.421755994670093
MLP_NN,10,1.037147012539208
LSTM,10,27.836080989800394
XGBoost,10,1.4226860366761684
MLP_NN,10,1.0688359616324306
LSTM,10,27.744501014240086
XGBoost,10,1.464123954065144
MLP_NN,10,0.9809600305743515
LSTM,10,27.452123002149165
XGBoost,10,1.4282659976743162
MLP_NN,10,0.9803479770198464
LSTM,10,27.67236903309822
XGBoost,10,1.4310639817267656
MLP_NN,10,1.0110200382769108
LSTM,10,27.751084009651095
XGBoost,10,1.3847179943695664
MLP_NN,10,1.013574015814811
LSTM,10,27.60478900745511
XGBoost,10,2.292084973305464
MLP_NN,10,1.3784600305370986
LSTM,10,27.815890032798052
XGBoost,10,2.2971919970586896
MLP_NN,10,1.6244439757429063
LSTM,10,27.76077901944518
XGBoost,10,1.3354800175875425
MLP_NN,10,0.9745539864525199
LSTM,10,30.226160015445203
XGBoost,10,1.4670920209027827
MLP_NN,10,1.0330320219509304
LSTM,10,27.98441902268678
XGBoost,10,1.468688016757369
MLP_NN,10,1.006632053758949
LSTM,10,27.724092011339962
XGBoost,10,1.3989299768581986
MLP_NN,10,1.0067250113934278
LSTM,10,27.812272019218653
XGBoost,10,1.3803790207020938
MLP_NN,10,1.0168789885938168
LSTM,10,27.90902100969106
XGBoost,10,1.4125860179774463
MLP_NN,10,1.0329509968869388
LSTM,10,27.856249012984335
XGBoost,10,1.4611760270781815
MLP_NN,10,1.0226640151813626
LSTM,10,28.006921987980604
XGBoost,10,1.4100169646553695
MLP_NN,10,1.17720098933205
LSTM,10,27.61407702928409
XGBoost,10,1.5614029834978282
MLP_NN,10,1.007108949124813
LSTM,10,27.50589099014178
XGBoost,10,1.3713870430365205
MLP_NN,10,0.9909939835779369
LSTM,10,27.497617003973573
XGBoost,10,1.3733159867115319
MLP_NN,10,0.9898940334096551
LSTM,10,27.979078993666917
XGBoost,10,2.1755569614470005
MLP_NN,10,1.016268040984869
LSTM,10,27.46373799163848
XGBoost,10,1.3959140051156282
MLP_NN,10,1.01203698432073
LSTM,10,34.17171398177743
XGBoost,10,1.465729030314833
MLP_NN,10,1.0106490226462483
LSTM,10,28.34075700957328
XGBoost,10,1.3933010050095618
MLP_NN,10,0.9848030167631805
LSTM,10,31.080237007699907
XGBoost,10,1.417833031155169
MLP_NN,10,0.976358016487211
LSTM,10,27.742328005842865
XGBoost,10,1.3701929710805416
MLP_NN,10,1.0021600173786283
LSTM,10,28.162153030280024
XGBoost,10,1.614332024473697
MLP_NN,10,1.0347750503569841
LSTM,10,27.78149297228083
XGBoost,10,1.4056089567020535
MLP_NN,10,0.9727620054036379
LSTM,10,27.871924976352602
XGBoost,10,1.3897629687562585
MLP_NN,10,0.9689360158517957
LSTM,10,28.01873499993235
XGBoost,10,1.6982679953798652
MLP_NN,10,1.029424020089209
LSTM,10,28.05736695881933
XGBoost,10,1.4057849766686559
MLP_NN,10,1.0230439947918057
LSTM,10,31.76730003906414
XGBoost,10,1.4795390306971967
MLP_NN,10,1.0321239824406803
LSTM,10,27.58253295905888
XGBoost,10,1.4380199718289077
MLP_NN,10,0.9943579789251089
LSTM,10,27.67639799276367
XGBoost,10,2.2886350052431226
MLP_NN,10,1.4947409508749843
LSTM,10,29.880784975830466
XGBoost,10,2.135461021680385
MLP_NN,10,0.9977570152841508
LSTM,10,28.886154992505908
XGBoost,10,1.4597450499422848
MLP_NN,10,0.9324749698862433
LSTM,10,27.8603250044398
XGBoost,10,1.4047959703020751
MLP_NN,10,1.0188230080530047
LSTM,10,27.646464994177222
XGBoost,10,1.44121894845739
